date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:14:42	63967/63967	---M--	200	added ('OK')	image/png	etag:%22f9df-5461ce3e4bb00%22	https://demo.smartaddons.com/templates/html/market/image/demo/cms/banner2-1.png	D:/Record/iiiiiiiiiiiiiiii/demo.smartaddons.com/templates/html/market/image/demo/cms/banner2-1.png	(from https://demo.smartaddons.com/templates/html/market/index.html)
01:14:42	21150/21150	---M--	200	added ('OK')	image/png	etag:%22529e-5461ce6841e00%22	https://demo.smartaddons.com/templates/html/market/image/demo/cms/banner2-4.png	D:/Record/iiiiiiiiiiiiiiii/demo.smartaddons.com/templates/html/market/image/demo/cms/banner2-4.png	(from https://demo.smartaddons.com/templates/html/market/index.html)
01:14:42	11709/11709	---M--	200	added ('OK')	application/javascript	etag:%222dbd-54acab9c38100%22	https://demo.smartaddons.com/templates/html/market/js/bootstrap-notify.min.js	D:/Record/iiiiiiiiiiiiiiii/demo.smartaddons.com/templates/html/market/js/bootstrap-notify.min.js	(from https://demo.smartaddons.com/templates/html/market/index.html)
01:14:43	1225/1225	---M--	200	added ('OK')	application/javascript	etag:%224c9-547f6aa0c1a00%22	https://demo.smartaddons.com/templates/html/market/js/themejs/toppanel.js	D:/Record/iiiiiiiiiiiiiiii/demo.smartaddons.com/templates/html/market/js/themejs/toppanel.js	(from https://demo.smartaddons.com/templates/html/market/index.html)
01:14:43	7343/7343	---M--	200	added ('OK')	text/css	etag:%221caf-547f676127000%22	https://demo.smartaddons.com/templates/html/market/css/header3.css	D:/Record/iiiiiiiiiiiiiiii/demo.smartaddons.com/templates/html/market/css/header3.css	(from https://demo.smartaddons.com/templates/html/market/home3.html)
01:14:43	109312/109312	---M--	200	added ('OK')	image/jpeg	etag:%221ab00-542200a416d80%22	https://demo.smartaddons.com/templates/html/market/image/demo/cms/newletter-bg.jpg	D:/Record/iiiiiiiiiiiiiiii/demo.smartaddons.com/templates/html/market/image/demo/cms/newletter-bg.jpg	(from https://demo.smartaddons.com/templates/html/market/index.html)
01:14:43	53252/53252	---M--	200	added ('OK')	image/png	etag:%22d004-5461cee80cb80%22	https://demo.smartaddons.com/templates/html/market/image/demo/cms/v3-banner-header.png	D:/Record/iiiiiiiiiiiiiiii/demo.smartaddons.com/templates/html/market/image/demo/cms/v3-banner-header.png	(from https://demo.smartaddons.com/templates/html/market/home3.html)
01:14:43	7034/7034	---M--	200	added ('OK')	text/css	etag:%221b7a-547f676127000%22	https://demo.smartaddons.com/templates/html/market/css/header4.css	D:/Record/iiiiiiiiiiiiiiii/demo.smartaddons.com/templates/html/market/css/header4.css	(from https://demo.smartaddons.com/templates/html/market/home4.html)
01:14:44	232/232	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2029%20Jul%202022%2019:14:45%20GMT	https://demo.smartaddons.com/templates/html/market/account.html	D:/Record/iiiiiiiiiiiiiiii/demo.smartaddons.com/templates/html/market/account.html	(from https://demo.smartaddons.com/templates/html/market/home4.html)
01:14:44	147731/147731	---M--	200	added ('OK')	text/css	etag:%2224113-547f841071d00%22	https://demo.smartaddons.com/templates/html/market/css/home3.css	D:/Record/iiiiiiiiiiiiiiii/demo.smartaddons.com/templates/html/market/css/home3.css	(from https://demo.smartaddons.com/templates/html/market/home3.html)
01:14:45	46325/46325	---M--	200	added ('OK')	image/jpeg	etag:%22b4f5-5455ebbd39000%22	https://demo.smartaddons.com/templates/html/market/image/demo/shop/product/B10.jpg	D:/Record/iiiiiiiiiiiiiiii/demo.smartaddons.com/templates/html/market/image/demo/shop/product/B10.jpg	(from https://demo.smartaddons.com/templates/html/market/home4.html)
01:14:45	151623/151623	---M--	200	added ('OK')	text/css	etag:%2225047-547f841071d00%22	https://demo.smartaddons.com/templates/html/market/css/home4.css	D:/Record/iiiiiiiiiiiiiiii/demo.smartaddons.com/templates/html/market/css/home4.css	(from https://demo.smartaddons.com/templates/html/market/home4.html)
01:14:45	7367/7367	---M--	200	added ('OK')	text/css	etag:%221cc7-547f676127000%22	https://demo.smartaddons.com/templates/html/market/css/header5.css	D:/Record/iiiiiiiiiiiiiiii/demo.smartaddons.com/templates/html/market/css/header5.css	(from https://demo.smartaddons.com/templates/html/market/home5.html)
01:14:45	39846/39846	---M--	200	added ('OK')	image/jpeg	etag:%229ba6-5455ebbb50b80%22	https://demo.smartaddons.com/templates/html/market/image/demo/shop/product/B9.jpg	D:/Record/iiiiiiiiiiiiiiii/demo.smartaddons.com/templates/html/market/image/demo/shop/product/B9.jpg	(from https://demo.smartaddons.com/templates/html/market/home4.html)
01:14:45	4513/4513	---M--	200	added ('OK')	text/css	etag:%2211a1-547f676127000%22	https://demo.smartaddons.com/templates/html/market/css/footer2.css	D:/Record/iiiiiiiiiiiiiiii/demo.smartaddons.com/templates/html/market/css/footer2.css	(from https://demo.smartaddons.com/templates/html/market/home5.html)
01:14:46	1006/1006	---M--	200	added ('OK')	image/png	etag:%223ee-5461cf865c100%22	https://demo.smartaddons.com/templates/html/market/image/demo/logos/logo_5.png	D:/Record/iiiiiiiiiiiiiiii/demo.smartaddons.com/templates/html/market/image/demo/logos/logo_5.png	(from https://demo.smartaddons.com/templates/html/market/home5.html)
01:14:47	84644/84644	---M--	200	added ('OK')	image/jpeg	etag:%2214aa4-5461cfbbc3f00%22	https://demo.smartaddons.com/templates/html/market/image/demo/slider/home5/slider-1.jpg	D:/Record/iiiiiiiiiiiiiiii/demo.smartaddons.com/templates/html/market/image/demo/slider/home5/slider-1.jpg	(from https://demo.smartaddons.com/templates/html/market/home5.html)
01:14:47	141201/141201	---M--	200	added ('OK')	text/css	etag:%2222791-547f841071d00%22	https://demo.smartaddons.com/templates/html/market/css/home5.css	D:/Record/iiiiiiiiiiiiiiii/demo.smartaddons.com/templates/html/market/css/home5.css	(from https://demo.smartaddons.com/templates/html/market/home5.html)
01:14:47	20774/20774	---M--	200	added ('OK')	image/jpeg	etag:%225126-5461ce6a2a280%22	https://demo.smartaddons.com/templates/html/market/image/demo/cms/home5/banner1.jpg	D:/Record/iiiiiiiiiiiiiiii/demo.smartaddons.com/templates/html/market/image/demo/cms/home5/banner1.jpg	(from https://demo.smartaddons.com/templates/html/market/home5.html)
01:14:48	154359/154359	---M--	200	added ('OK')	image/jpeg	etag:%2225af7-5461cfbf94800%22	https://demo.smartaddons.com/templates/html/market/image/demo/slider/home5/slider-3.jpg	D:/Record/iiiiiiiiiiiiiiii/demo.smartaddons.com/templates/html/market/image/demo/slider/home5/slider-3.jpg	(from https://demo.smartaddons.com/templates/html/market/home5.html)
01:14:48	19706/19706	---M--	200	added ('OK')	image/jpeg	etag:%224cfa-5461ce6a2a280%22	https://demo.smartaddons.com/templates/html/market/image/demo/cms/home5/banner2.jpg	D:/Record/iiiiiiiiiiiiiiii/demo.smartaddons.com/templates/html/market/image/demo/cms/home5/banner2.jpg	(from https://demo.smartaddons.com/templates/html/market/home5.html)
01:14:48	2097/2097	---M--	200	added ('OK')	image/png	etag:%22831-5461cdf200700%22	https://demo.smartaddons.com/templates/html/market/image/demo/brand/home5/logo-1.png	D:/Record/iiiiiiiiiiiiiiii/demo.smartaddons.com/templates/html/market/image/demo/brand/home5/logo-1.png	(from https://demo.smartaddons.com/templates/html/market/home5.html)
01:14:48	1739/1739	---M--	200	added ('OK')	image/png	etag:%226cb-5461cdff5a680%22	https://demo.smartaddons.com/templates/html/market/image/demo/brand/home5/logo-2.png	D:/Record/iiiiiiiiiiiiiiii/demo.smartaddons.com/templates/html/market/image/demo/brand/home5/logo-2.png	(from https://demo.smartaddons.com/templates/html/market/home5.html)
01:14:48	329342/329342	---M--	200	added ('OK')	image/jpeg	etag:%225067e-5461cfbdac380%22	https://demo.smartaddons.com/templates/html/market/image/demo/slider/home5/slider-2.jpg	D:/Record/iiiiiiiiiiiiiiii/demo.smartaddons.com/templates/html/market/image/demo/slider/home5/slider-2.jpg	(from https://demo.smartaddons.com/templates/html/market/home5.html)
01:14:48	14051/14051	---M--	200	added ('OK')	image/jpeg	etag:%2236e3-5461ce6a2a280%22	https://demo.smartaddons.com/templates/html/market/image/demo/cms/home5/banner3.jpg	D:/Record/iiiiiiiiiiiiiiii/demo.smartaddons.com/templates/html/market/image/demo/cms/home5/banner3.jpg	(from https://demo.smartaddons.com/templates/html/market/home5.html)
01:14:48	27361/27361	---M--	200	added ('OK')	image/jpeg	etag:%226ae1-5461ce6a2a280%22	https://demo.smartaddons.com/templates/html/market/image/demo/cms/home5/banner4.jpg	D:/Record/iiiiiiiiiiiiiiii/demo.smartaddons.com/templates/html/market/image/demo/cms/home5/banner4.jpg	(from https://demo.smartaddons.com/templates/html/market/home5.html)
01:14:49	16497/16497	---M--	200	added ('OK')	image/jpeg	etag:%224071-5461ce6c12700%22	https://demo.smartaddons.com/templates/html/market/image/demo/cms/home5/banner5.jpg	D:/Record/iiiiiiiiiiiiiiii/demo.smartaddons.com/templates/html/market/image/demo/cms/home5/banner5.jpg	(from https://demo.smartaddons.com/templates/html/market/home5.html)
01:14:49	38833/38833	---M--	200	added ('OK')	image/jpeg	etag:%2297b1-5461d0fc33300%22	https://demo.smartaddons.com/templates/html/market/image/demo/shop/product/home5/10.jpg	D:/Record/iiiiiiiiiiiiiiii/demo.smartaddons.com/templates/html/market/image/demo/shop/product/home5/10.jpg	(from https://demo.smartaddons.com/templates/html/market/home5.html)
01:14:49	13477/13477	---M--	200	added ('OK')	image/jpeg	etag:%2234a5-5461d0fe1b780%22	https://demo.smartaddons.com/templates/html/market/image/demo/shop/product/home5/4.jpg	D:/Record/iiiiiiiiiiiiiiii/demo.smartaddons.com/templates/html/market/image/demo/shop/product/home5/4.jpg	(from https://demo.smartaddons.com/templates/html/market/home5.html)
01:14:49	4712/4712	---M--	200	added ('OK')	image/jpeg	etag:%221268-5461d0fe1b780%22	https://demo.smartaddons.com/templates/html/market/image/demo/shop/product/home5/2.jpg	D:/Record/iiiiiiiiiiiiiiii/demo.smartaddons.com/templates/html/market/image/demo/shop/product/home5/2.jpg	(from https://demo.smartaddons.com/templates/html/market/home5.html)
01:14:50	5455/5455	---M--	200	added ('OK')	image/jpeg	etag:%22154f-5461d0fe1b780%22	https://demo.smartaddons.com/templates/html/market/image/demo/shop/product/home5/3.jpg	D:/Record/iiiiiiiiiiiiiiii/demo.smartaddons.com/templates/html/market/image/demo/shop/product/home5/3.jpg	(from https://demo.smartaddons.com/templates/html/market/home5.html)
01:14:50	10751/10751	---M--	200	added ('OK')	image/jpeg	etag:%2229ff-5461d101ec080%22	https://demo.smartaddons.com/templates/html/market/image/demo/shop/product/home5/8.jpg	D:/Record/iiiiiiiiiiiiiiii/demo.smartaddons.com/templates/html/market/image/demo/shop/product/home5/8.jpg	(from https://demo.smartaddons.com/templates/html/market/home5.html)
01:14:50	9525/9525	---M--	200	added ('OK')	image/jpeg	etag:%222535-5461d10003c00%22	https://demo.smartaddons.com/templates/html/market/image/demo/shop/product/home5/5.jpg	D:/Record/iiiiiiiiiiiiiiii/demo.smartaddons.com/templates/html/market/image/demo/shop/product/home5/5.jpg	(from https://demo.smartaddons.com/templates/html/market/home5.html)
01:14:50	4825/4825	---M--	200	added ('OK')	image/jpeg	etag:%2212d9-5461d10003c00%22	https://demo.smartaddons.com/templates/html/market/image/demo/shop/product/home5/6.jpg	D:/Record/iiiiiiiiiiiiiiii/demo.smartaddons.com/templates/html/market/image/demo/shop/product/home5/6.jpg	(from https://demo.smartaddons.com/templates/html/market/home5.html)
